,T,spd,pwr,g_1,g_2,g_3
90,186,1.6,6.1,12.5,9900000000.0,9900000000.0
91,188,1.6,5.4,11.666,9900000000.0,9900000000.0
92,190,1.6,6.5,11.08,9900000000.0,9900000000.0
93,192,1.6,8.2,10.662,9900000000.0,9900000000.0
94,194,1.6,6.3,10.253,9900000000.0,9900000000.0
95,196,1.6,6.3,9.8905,9900000000.0,9900000000.0
96,198,1.6,8.0,9.5354,9900000000.0,9900000000.0
97,200,1.6,8.0,9.2344,9900000000.0,9900000000.0
98,202,1.6,7.3,9.0604,9900000000.0,9900000000.0
99,204,1.6,6.5,8.8253,9900000000.0,9900000000.0
100,206,1.6,6.8,8.6272,9900000000.0,9900000000.0
101,208,1.6,8.2,8.4925,9900000000.0,9900000000.0
102,210,1.6,6.1,8.363,9900000000.0,9900000000.0
103,212,1.6,8.2,8.2283,9900000000.0,9900000000.0
104,214,1.6,6.5,8.0935,9900000000.0,9900000000.0
105,216,1.6,6.5,8.0515,9900000000.0,9900000000.0
106,219,1.6,8.4,7.9167,9900000000.0,9900000000.0
107,221,1.6,8.4,7.782,9900000000.0,9900000000.0
108,223,1.6,8.0,7.6525,9900000000.0,9900000000.0
109,225,1.6,6.1,7.565,9900000000.0,9900000000.0
110,227,1.6,8.2,7.4705,9900000000.0,9900000000.0
111,229,1.6,7.5,7.341,9900000000.0,9900000000.0
112,231,1.6,5.4,7.2483,9900000000.0,9900000000.0
113,233,1.6,6.8,7.159,9900000000.0,9900000000.0
114,235,1.6,6.5,7.1188,9900000000.0,9900000000.0
115,237,1.6,6.1,7.0365,9900000000.0,9900000000.0
116,239,1.6,8.0,6.9018,9900000000.0,9900000000.0
117,241,1.6,6.1,6.8545,9900000000.0,9900000000.0
118,243,1.6,8.2,6.7653,9900000000.0,9900000000.0
119,245,1.6,6.8,6.6778,9900000000.0,9900000000.0
120,247,1.6,6.8,6.5448,9900000000.0,9900000000.0
121,249,1.6,6.5,6.4743,9900000000.0,9900000000.0
122,251,1.6,6.1,6.413,9900000000.0,9900000000.0
123,254,1.6,7.0,6.3517,9900000000.0,9900000000.0
124,256,1.6,6.1,6.3125,9900000000.0,9900000000.0
125,258,1.6,7.3,6.2551,9900000000.0,9900000000.0
126,260,1.6,6.1,6.2251,9900000000.0,9900000000.0
127,262,1.6,6.1,6.1508,9900000000.0,9900000000.0
128,264,1.6,8.0,6.0855,9900000000.0,9900000000.0
129,266,1.6,5.4,6.0503,9900000000.0,9900000000.0
130,268,1.6,7.3,5.9929,9900000000.0,9900000000.0
131,270,1.6,6.5,5.9629,9900000000.0,9900000000.0
132,272,1.6,8.2,5.9237,9900000000.0,9900000000.0
133,274,1.6,6.8,5.8885,9900000000.0,9900000000.0
134,276,1.6,6.1,5.8272,9900000000.0,9900000000.0
135,278,1.6,8.0,5.792,9900000000.0,9900000000.0
136,280,1.6,6.1,5.792,9900000000.0,9900000000.0
